item_id,system,item,authority,status,notes
DAX-TONGUE,tongue,wooden tongue blank,pending_measurement,estimate_class_only,"Species, grain, outline, thickness profile, and finish are not specified."
DAX-TONGUE-EDGE,tongue,edge-preparation and sealing supplies,pending_measurement,estimate_class_only,"Safety and response support only; exact abrasives finishes and profiles require test evidence."
DAX-CLAMP,clamp,clamping block and pressure interface,pending_measurement,estimate_class_only,"Clamp geometry and pressure must be tested for sustain, buzz, and fiber damage."
DAX-CLAMP-LINER,clamp,replaceable clamp liner or pad material,pending_measurement,estimate_class_only,"Candidate interface material for clamp tests; material thickness and contact area are not released."
DAX-DAXBLOCK,player_interface,hand-held dax block,pending_measurement,estimate_class_only,"Face material, contour, grip, and contact response are pending prototype tests."
DAX-DAXBLOCK-FACE,player_interface,replaceable dax-face coupon,pending_measurement,estimate_class_only,"Swappable contact surface category only; no face curve or fret map is claimed."
DAX-BOW,exciter,bow and rosin system,pending_measurement,estimate_class_only,"Bowing setup is a test dependency, not a tuned design input."
DAX-PICKUP,electronics,contact pickup,pending_measurement,estimate_class_only,"Pickup type, mount, wiring, and preamp needs are not specified."
DAX-PICKUP-MOUNT,electronics,reversible pickup mount materials,pending_measurement,estimate_class_only,"Mounting approach must be tested for noise and structural side effects before release."
DAX-JACK,electronics,output jack and strain relief,pending_measurement,estimate_class_only,"Connector placement and shielding require a reviewed layout."
DAX-BASE,structure,bench or mounting base,pending_measurement,estimate_class_only,"Support mass, isolation, and ergonomics are not specified."
DAX-FINISH,safety,edge finish and player-contact treatment,pending_measurement,estimate_class_only,"Must avoid splinters and unsafe bowed edges without muting response."
DAX-LOG,documentation,test log and authority register updates,concept_only,planning_only,"Records blank source clamp behavior dax contact pickup noise and safety observations without becoming fabrication authority."
